PT-AU;Nº ciclo;Part Number;Nº Serie;Geometría;Material;Nº capas;Sección;Punto;Zona;FV;Espesor nominal;Espesor curado;OF
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P15;Alma;NO;1,152;1,16;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P16;Alma;NO;1,152;1,17;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P17;Alma;SI;1,215;1,42;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P18;Alma;SI;1,215;1,14;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P19;Alma;SI;1,215;1,26;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P20;Alma;SI;1,215;1,34;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P21;Alma;SI;1,215;1,32;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P22;Alma;SI;1,215;1,33;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P23;Alma;SI;1,215;1,23;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P24;Alma;SI;1,215;1,29;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P25;Alma;SI;1,215;1,23;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P26;Alma;SI;1,215;1,35;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P27;Alma;SI;1,215;1,33;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P28;Alma;SI;1,215;1,33;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P29;Alma;SI;1,215;1,25;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P30;Alma;SI;1,215;1,22;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P31;Alma;SI;1,215;1,22;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;8,0;;P32;Alma;SI;1,215;1,23;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P1;Alma;NO;2,304;2,42;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P2;Alma;NO;2,304;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P3;Alma;NO;2,304;2,47;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P4;Alma;NO;2,304;2,72;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P5;Alma;NO;2,304;2,5;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P6;Alma;NO;2,304;2,6;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P7;Alma;NO;2,304;2,47;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P8;Alma;NO;2,304;2,63;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P9;Alma;NO;2,304;2,44;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P10;Alma;NO;2,304;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P11;Alma;NO;2,304;2,49;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P12;Alma;NO;2,304;2,65;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P13;Alma;NO;2,304;2,52;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P14;Alma;NO;2,304;2,5;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P15;Alma;NO;2,304;2,6;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P16;Alma;NO;2,304;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P17;Alma;SI;2,367;2,72;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P18;Alma;SI;2,367;2,6;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P19;Alma;SI;2,367;2,6;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P20;Alma;SI;2,367;2,53;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P21;Alma;SI;2,367;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P22;Alma;SI;2,367;2,52;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P23;Alma;SI;2,367;2,59;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P24;Alma;SI;2,367;2,52;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P25;Alma;SI;2,367;2,54;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P26;Alma;SI;2,367;2,61;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P27;Alma;SI;2,367;2,54;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P28;Alma;SI;2,367;2,54;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P29;Alma;SI;2,367;2,61;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P30;Alma;SI;2,367;2,55;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P31;Alma;SI;2,367;2,53;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;16,0;;P32;Alma;SI;2,367;2,48;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P1;Alma;NO;3,456;3,72;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P2;Alma;NO;3,456;3,58;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P3;Alma;NO;3,456;3,71;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P4;Alma;NO;3,456;3,73;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P5;Alma;NO;3,456;3,74;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P6;Alma;NO;3,456;3,62;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P7;Alma;NO;3,456;3,67;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P8;Alma;NO;3,456;3,67;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P9;Alma;NO;3,456;3,66;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P10;Alma;NO;3,456;3,66;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P11;Alma;NO;3,456;3,88;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P12;Alma;NO;3,456;3,71;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P13;Alma;NO;3,456;3,61;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P14;Alma;NO;3,456;3,64;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P15;Alma;NO;3,456;3,86;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P16;Alma;NO;3,456;3,9;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P17;Alma;SI;3,519;4,0;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P18;Alma;SI;3,519;3,72;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P19;Alma;SI;3,519;3,75;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P20;Alma;SI;3,519;3,87;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P21;Alma;SI;3,519;4,02;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P22;Alma;SI;3,519;3,99;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P23;Alma;SI;3,519;3,9;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P24;Alma;SI;3,519;3,9;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P25;Alma;SI;3,519;3,9;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P26;Alma;SI;3,519;3,96;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P27;Alma;SI;3,519;3,92;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P28;Alma;SI;3,519;3,94;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P29;Alma;SI;3,519;3,94;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P30;Alma;SI;3,519;3,94;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P31;Alma;SI;3,519;3,94;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;24,0;;P32;Alma;SI;3,519;3,94;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;52,0;;P1;Alma;NO;7,488;7,54;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;52,0;;P2;Alma;NO;7,488;7,61;
PT-AU88;AU1-11193;ACTR-01900-000;2;Plana;UD Tape;52,0;;P3;Alma;NO;7,488;7,45;
